magic_number,time,footer,
3735928559,12321.509765625,3405707998,
3735928559,12321.509765625,3405707998,
3735928559,12321.509765625,3405707998,
3735928559,12321.509765625,3405707998,
3735928559,12321.509765625,3405707998,
3735928559,12321.509765625,3405707998,
3735928559,12321.509765625,3405707998,
3735928559,12321.509765625,3405707998,
3735928559,12321.509765625,3405707998,
3735928559,12321.509765625,3405707998,
3735928559,12321.509765625,3405707998,
3735928559,12321.509765625,3405707998,
3735928559,12321.509765625,3405707998,
3735928559,12321.509765625,3405707998,
3735928559,12321.509765625,3405707998,
3735928559,12321.509765625,3405707998,
3735928559,12321.509765625,3405707998,
3735928559,12321.509765625,3405707998,
3735928559,12321.509765625,3405707998,
3735928559,12321.509765625,3405707998,
3735928559,12321.509765625,3405707998,
3735928559,12321.509765625,3405707998,
3735928559,12321.509765625,3405707998,
3735928559,12321.509765625,3405707998,
3735928559,12321.509765625,3405707998,
3735928559,12321.509765625,3405707998,
3735928559,12321.509765625,3405707998,
3735928559,12321.509765625,3405707998,
3735928559,12321.509765625,3405707998,
3735928559,12321.509765625,3405707998,
3735928559,12321.509765625,3405707998,
3735928559,12321.509765625,3405707998,
3735928559,12321.509765625,3405707998,
3735928559,12321.509765625,3405707998,
3735928559,12321.509765625,3405707998,
3735928559,12321.509765625,3405707998,
3735928559,12321.509765625,3405707998,
3735928559,12321.509765625,3405707998,
3735928559,12321.509765625,3405707998,
3735928559,12321.509765625,3405707998,
3735928559,12321.509765625,3405707998,
3735928559,12321.509765625,3405707998,
3735928559,12321.509765625,3405707998,
3735928559,12321.509765625,3405707998,
3735928559,12321.509765625,3405707998,
3735928559,12321.509765625,3405707998,
3735928559,12321.509765625,3405707998,
3735928559,12321.509765625,3405707998,
3735928559,12321.509765625,3405707998,
3735928559,12321.509765625,3405707998,
3735928559,12321.509765625,3405707998,
3735928559,12321.509765625,3405707998,
3735928559,12321.509765625,3405707998,
3735928559,12321.509765625,3405707998,
3735928559,12321.509765625,3405707998,
3735928559,12321.509765625,3405707998,
3735928559,12321.509765625,3405707998,
3735928559,12321.509765625,3405707998,
3735928559,12321.509765625,3405707998,
3735928559,12321.509765625,3405707998,
3735928559,12321.509765625,3405707998,
3735928559,12321.509765625,3405707998,
3735928559,12321.509765625,3405707998,
3735928559,12321.509765625,3405707998,
3735928559,12321.509765625,3405707998,
3735928559,12321.509765625,3405707998,
3735928559,12321.509765625,3405707998,
3735928559,12321.509765625,3405707998,
3735928559,12321.509765625,3405707998,
3735928559,12321.509765625,3405707998,
3735928559,12321.509765625,3405707998,
3735928559,12321.509765625,3405707998,
3735928559,12321.509765625,3405707998,
3735928559,12321.509765625,3405707998,
3735928559,12321.509765625,3405707998,
3735928559,12321.509765625,3405707998,
3735928559,12321.509765625,3405707998,
3735928559,12321.509765625,3405707998,
